ARTICLE,DIRNUM,DIRECTIONNAME
001,0,NORTHBOUND
001,1,SOUTHBOUND
002,0,OUTBOUND
002,1,INBOUND
011,0,EASTBOUND
011,1,WESTBOUND
012,0,EASTBOUND
012,1,WESTBOUND
019,0,SOUTHBOUND
019,1,NORTHBOUND
021,0,NORTHBOUND
021,1,SOUTHBOUND
024,0,INBOUND
024,1,OUTBOUND
026,0,SOUTHBOUND
026,1,NORTHBOUND
027,0,NORTHBOUND
027,1,SOUTHBOUND
029,0,SOUTHBOUND
029,1,NORTHBOUND
031,0,NORTHBOUND
031,1,SOUTHBOUND
035,0,WESTBOUND
035,1,EASTBOUND
036,0,OUTBOUND
036,1,INBOUND
039,0,NORTHBOUND
039,1,SOUTHBOUND
042,0,WESTBOUND
042,1,EASTBOUND
049,0,OUTBOUND
049,1,INBOUND
052,0,WESTBOUND
052,1,EASTBOUND
059,0,WESTBOUND
059,1,EASTBOUND
060,0,INBOUND
060,1,OUTBOUND
063,0,INBOUND
063,1,OUTBOUND
076,0,EASTBOUND
076,1,WESTBOUND
110,0,EASTBOUND
110,1,WESTBOUND
111,0,EASTBOUND
111,1,WESTBOUND
155,0,INBOUND
155,1,OUTBOUND
161,0,NORTHBOUND
161,1,SOUTHBOUND
164,0,INBOUND
164,1,OUTBOUND
183,0,INBOUND
183,1,OUTBOUND
205,0,INBOUND
205,1,OUTBOUND
206,0,INBOUND
206,1,OUTBOUND
208,0,SOUTHBOUND
208,1,NORTHBOUND
210,0,INBOUND
210,1,OUTBOUND
278,0,INBOUND
278,1,OUTBOUND
282,0,WESTBOUND
282,1,EASTBOUND
283,0,INBOUND
283,1,OUTBOUND
333,0,EASTBOUND
333,1,WESTBOUND
346,0,NORTHBOUND
346,1,SOUTHBOUND
347,0,NORTHBOUND
347,1,SOUTHBOUND
348,0,NORTHBOUND
348,1,SOUTHBOUND
350,0,NORTHBOUND
350,1,SOUTHBOUND
360,0,NORTHBOUND
360,1,SOUTHBOUND
361,0,EASTBOUND
361,1,WESTBOUND
362,0,EASTBOUND
362,1,WESTBOUND
372,0,EASTBOUND
372,1,WESTBOUND
374,0,EASTBOUND
374,1,WESTBOUND
376,0,WESTBOUND
376,1,EASTBOUND
377,0,NORTHBOUND
377,1,SOUTHBOUND
378,0,NORTHBOUND
378,1,SOUTHBOUND
380,0,NORTHBOUND
380,1,SOUTHBOUND
385,0,EASTBOUND
385,1,WESTBOUND
400,0,EASTBOUND
400,1,WESTBOUND
401,0,NORTHBOUND
401,1,SOUTHBOUND
404,0,NORTHBOUND
404,1,SOUTHBOUND
405,0,SOUTHBOUND
405,1,NORTHBOUND
408,0,WESTBOUND
408,1,EASTBOUND
409,0,NORTHBOUND
409,1,SOUTHBOUND
410,0,NORTHBOUND
410,1,SOUTHBOUND
415,0,WESTBOUND
415,1,EASTBOUND
428,0,EASTBOUND
428,1,WESTBOUND
444,0,EASTBOUND
444,1,WESTBOUND
445,0,EASTBOUND
445,1,WESTBOUND
451,0,NORTHBOUND
451,1,SOUTHBOUND
452,0,EASTBOUND
452,1,WESTBOUND
453,0,NORTHBOUND
453,1,SOUTHBOUND
463,0,EASTBOUND
463,1,WESTBOUND
466,0,EASTBOUND
466,1,WESTBOUND
467,0,NORTHBOUND
467,1,SOUTHBOUND
475,0,SOUTHBOUND
475,1,NORTHBOUND
486,0,EASTBOUND
486,1,WESTBOUND
488,0,EASTBOUND
488,1,WESTBOUND
500,0,WESTBOUND
500,1,EASTBOUND
501,0,SOUTHBOUND
501,1,NORTHBOUND
502,0,SOUTHBOUND
502,1,NORTHBOUND
504,0,NORTHBOUND
504,1,SOUTHBOUND
505,0,WESTBOUND
505,1,EASTBOUND
506,0,NORTHBOUND
506,1,SOUTHBOUND
507,0,NORTHBOUND
507,1,SOUTHBOUND
508,0,NORTHBOUND
508,1,SOUTHBOUND
509,0,NORTHBOUND
509,1,SOUTHBOUND
510,0,EASTBOUND
510,1,WESTBOUND
513,0,NORTHBOUND
513,1,SOUTHBOUND
514,0,EASTBOUND
514,1,WESTBOUND
515,0,SOUTHBOUND
515,1,NORTHBOUND
521,0,NORTHBOUND
521,1,SOUTHBOUND
522,0,SOUTHBOUND
522,1,NORTHBOUND
524,0,NORTHBOUND
524,1,SOUTHBOUND
525,0,NORTHBOUND
525,1,SOUTHBOUND
526,0,INBOUND
526,1,OUTBOUND
527,0,INBOUND
527,1,OUTBOUND
528,0,EASTBOUND
528,1,WESTBOUND
529,0,NORTHBOUND
529,1,SOUTHBOUND
531,0,NORTHBOUND
531,1,SOUTHBOUND
532,0,EASTBOUND
532,1,WESTBOUND
533,0,WESTBOUND
533,1,EASTBOUND
534,0,EASTBOUND
534,1,WESTBOUND
535,0,NORTHBOUND
535,1,SOUTHBOUND
536,0,EASTBOUND
536,1,WESTBOUND
538,0,OUTBOUND
538,1,INBOUND
541,0,SOUTHBOUND
541,1,NORTHBOUND
542,0,WESTBOUND
542,1,EASTBOUND
544,0,NORTHBOUND
544,1,SOUTHBOUND
547,0,SOUTHBOUND
547,1,NORTHBOUND
549,0,NORTHBOUND
549,1,SOUTHBOUND
551,0,SOUTHBOUND
551,1,NORTHBOUND
553,0,NORTHBOUND
553,1,SOUTHBOUND
554,0,NORTHBOUND
554,1,SOUTHBOUND
560,0,EASTBOUND
560,1,WESTBOUND
566,0,NORTHBOUND
566,1,SOUTHBOUND
568,0,SOUTHBOUND
568,1,NORTHBOUND
571,0,EASTBOUND
571,1,WESTBOUND
574,0,SOUTHBOUND
574,1,NORTHBOUND
582,0,SOUTHBOUND
582,1,NORTHBOUND
583,0,SOUTHBOUND
583,1,NORTHBOUND
591,0,EASTBOUND
591,1,WESTBOUND
592,0,EASTBOUND
592,1,WESTBOUND
593,0,EASTBOUND
593,1,WESTBOUND
594,0,WESTBOUND
594,1,EASTBOUND
595,0,EASTBOUND
595,1,WESTBOUND
597,0,EASTBOUND
597,1,WESTBOUND
620,0,SOUTHBOUND
620,1,NORTHBOUND
702,0,WESTBOUND
702,1,EASTBOUND
704,0,WESTBOUND
704,1,EASTBOUND
705,0,WESTBOUND
705,1,EASTBOUND
722,0,NORTHBOUND
722,1,SOUTHBOUND
743,0,WESTBOUND
743,1,EASTBOUND
768,0,WESTBOUND
768,1,EASTBOUND
801,0,NORTHBOUND
801,1,SOUTHBOUND
802,0,NORTHBOUND
802,1,SOUTHBOUND
803,0,CIRCULAR
804,0,NORTHBOUND
804,1,SOUTHBOUND
822,0,CIRCULAR
823,0,CIRCULAR
824,0,EASTBOUND
824,1,WESTBOUND
826,0,CIRCULAR
827,0,CIRCULAR
828,0,CIRCULAR
829,0,NORTHBOUND
829,1,SOUTHBOUND
830,0,WESTBOUND
830,1,EASTBOUND
831,0,EASTBOUND
831,1,WESTBOUND
832,0,EASTBOUND
832,1,WESTBOUND
833,0,EASTBOUND
833,1,WESTBOUND
840,0,SOUTHBOUND
840,1,NORTHBOUND
841,0,EASTBOUND
841,1,WESTBOUND
842,0,EASTBOUND
842,1,WESTBOUND
843,0,EASTBOUND
843,1,WESTBOUND
870,0,SOUTHBOUND
870,1,NORTHBOUND
883,0,WESTBOUND
883,1,EASTBOUND
884,0,WESTBOUND
884,1,EASTBOUND
887,0,WESTBOUND
887,1,EASTBOUND
987,0,EASTBOUND
987,1,WESTBOUND
BLUE,0,NORTHBOUND
BLUE,1,SOUTHBOUND
GREEN,0,SOUTHBOUND
GREEN,1,NORTHBOUND
MAX,0,SOUTHBOUND
MAX,1,NORTHBOUND
M-LINE,0,NORTHBOUND
M-LINE,1,SOUTHBOUND
ORANGE,0,EASTBOUND
ORANGE,1,WESTBOUND
RED,0,NORTHBOUND
RED,1,SOUTHBOUND
TRE,0,WESTBOUND
TRE,1,EASTBOUND
