stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
12893,12893,CAMPANELLA @ OBERLIN - E - NS,,32.918416,-96.756632,,,0
12898,12898,SCHROEDER @ GALVA - S - NS,,32.916118,-96.762192,,,0
12899,12899,SCHROEDER @ GALVA - S - NS,,32.912078,-96.762787,,,0
12900,12900,SCHROEDER @ WILLOWDELL - S - NS,,32.911205,-96.762902,,,0
12901,12901,FOREST @ SHEPHERD - E - NS,,32.909084,-96.750428,,,1
12907,12907,MEADOW @ GREENVILLE - W - FS,,32.88596,-96.759039,,,0
12908,12908,WALNUT HILL @ RAMBLER - W - MB,,32.8834,-96.762208,,,1
12909,12909,WALNUT HILL @ GREENVILLE - E - MB,,32.883151,-96.760168,,,0
12910,12910,GREENVILLE @ HOLLY HILL - S - NS,,32.874008,-96.762894,,,0
12914,12914,ANITA @ MATILDA - E - NS,,32.834682,-96.768126,,,0
12915,12915,MATILDA @ ELLSWORTH - S - NS,,32.833995,-96.767991,,,0
12916,12916,MATILDA @ PENROSE - S - NS,,32.832439,-96.767991,,,0
12917,12917,MATILDA @ MCCOMMAS - S - NS,,32.830131,-96.767975,,,0
12918,12918,MATILDA @ MONTICELLO - S - NS,,32.827129,-96.767991,,,0
12919,12919,MATILDA @ VANDERBILT - S - NS,,32.825092,-96.767998,,,0
12920,12920,MATILDA @ VICKERY - S - NS,,32.823062,-96.767998,,,0
12921,12921,MATILDA @ VELASCO - S - NS,,32.821076,-96.768052,,,0
12922,12922,MATILDA @ GOLIAD - S - NS,,32.818781,-96.768052,,,0
12923,12923,MATILDA @ RICHMOND - S - NS,,32.81628,-96.768063,,,1
12924,12924,MATILDA @ ORAM - S - NS,,32.813968,-96.768085,,,0
12925,12925,MATILDA @ LEWIS - S - NS,,32.812256,-96.7686,,,0
12926,12926,ROSS @ HOPE - W - NS,,32.811161,-96.769135,,,0
12927,12927,GREENVILLE @ HUDSON - S - FS,,32.809908,-96.770265,,,1
12928,12928,GREENVILLE @ BRYAN - S - NS,,32.80695,-96.770222,,,1
12930,12930,LIVE OAK @ COLLETT - W - NS,,32.804481,-96.77031,,,1
12931,12931,LIVE OAK @ FITZHUGH - W - FS,,32.802688,-96.772461,,,1
12932,12932,LIVE OAK @ ANNEX - W - NS,,32.800639,-96.774959,,,1
12933,12933,LIVE OAK @ CARROLL - W - FS,,32.799087,-96.776764,,,1
12934,12934,LIVE OAK @ PEAK - W - NS,,32.79805,-96.778008,,,1
12935,12935,LIVE OAK @ HASKELL - W - NS,,32.796668,-96.77976,,,1
12936,12936,LIVE OAK @ WASHINGTON - W - NS,,32.79467,-96.782202,,,0
12937,12937,LIVE OAK @ HALL - W - NS,,32.792266,-96.785061,,,1
12939,12939,LIVE OAK @ CANTEGRAL - W - NS,,32.788717,-96.789263,,,1
12940,12940,LIVE OAK @ CANTEGRAL - E - MB,,32.788347,-96.789583,,,1
12941,12941,LIVE OAK @ TEXAS - E - NS,,32.789222,-96.788531,,,0
12942,12942,LIVE OAK @ SKILES - E - MB,,32.791007,-96.786316,,,1
12944,12944,LIVE OAK @ HASKELL - E - NS,,32.796386,-96.779923,,,1
12945,12945,LIVE OAK @ PEAK - E - NS,,32.797767,-96.77819,,,1
12946,12946,LIVE OAK @ CARROLL - E - FS,,32.799696,-96.775891,,,1
12947,12947,LIVE OAK @ ANNEX - E - NS,,32.800376,-96.775075,,,0
12948,12948,LIVE OAK @ FITZHUGH - E - FS,,32.802867,-96.772126,,,1
12949,12949,LIVE OAK @ COLLETT - E - NS,,32.804004,-96.770707,,,0
12950,12950,MUNGER @ LIVE OAK - W - FS,,32.805942,-96.76915,,,1
12951,12951,GREENVILLE @ BRYAN - N - NS,,32.806541,-96.769867,,,1
12952,12952,GREENVILLE @ BRYAN PARKWAY - N - NS,,32.80788,-96.770134,,,0
